iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
29000,717.5359 ± 19.3278,4.9785 ± 0.3883,45.9260 ± 7.3338,43.3320 ± 8.7143,0.6357 ± 0.0636,0.2595 ± 0.0716,0.1364 ± 0.0404,-14424.9291 ± 460.8483,-14294.8584 ± 432.4223,-14464.4423 ± 501.8842,-14337.0139 ± 462.7660,100.3284 ± 50.6051,55.7935 ± 15.1086,58.4170 ± 20.5527,0.9000 ± 0.0000,0.0001 ± 0.0000,,
30000,733.3060 ± 18.1257,16.1776 ± 1.2148,46.6980 ± 6.2007,43.0170 ± 8.7890,0.6285 ± 0.0374,0.2470 ± 0.0579,0.1261 ± 0.0267,-14441.5212 ± 385.4139,-14232.3161 ± 467.7025,-14482.8260 ± 423.0142,-14271.0532 ± 494.0741,106.6376 ± 53.8012,51.9571 ± 11.3490,58.0290 ± 17.4490,0.9000 ± 0.0000,0.0001 ± 0.0000,13380.8814 ± 661.0513,-13246.4015 ± 681.3191
31000,759.3905 ± 18.4036,4.8047 ± 0.4028,40.9810 ± 7.8077,39.8750 ± 8.3287,0.6603 ± 0.0634,0.3067 ± 0.0880,0.1645 ± 0.0493,-14261.6803 ± 532.4432,-14190.2922 ± 540.9241,-14305.0434 ± 568.2079,-14230.5597 ± 573.9830,91.1956 ± 45.9801,52.3101 ± 14.6629,51.5522 ± 16.4248,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,774.5839 ± 17.5413,15.9310 ± 1.2465,43.0140 ± 7.2377,40.9770 ± 7.0398,0.6632 ± 0.0666,0.2835 ± 0.0947,0.1584 ± 0.0616,-14258.6272 ± 619.0242,-14134.9959 ± 653.2815,-14276.3222 ± 663.8167,-14157.8591 ± 704.0122,75.1337 ± 25.2357,48.9104 ± 12.7324,50.0762 ± 11.1324,0.9000 ± 0.0000,0.0001 ± 0.0000,13254.5212 ± 757.2956,-13171.7453 ± 769.3585
33000,799.4471 ± 18.9914,4.8524 ± 0.5189,42.4610 ± 12.6976,40.5470 ± 11.3904,0.6527 ± 0.0627,0.2887 ± 0.0852,0.1677 ± 0.0690,-14362.1426 ± 568.2841,-14120.0963 ± 572.8636,-14395.6405 ± 584.6634,-14156.1492 ± 604.1450,74.0908 ± 16.5160,47.4449 ± 13.1521,52.6575 ± 12.3778,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,813.9198 ± 19.5579,15.9660 ± 1.5079,41.8980 ± 9.0909,41.6820 ± 9.3048,0.6567 ± 0.0727,0.3164 ± 0.0989,0.1827 ± 0.0967,-14308.5993 ± 495.4504,-14182.4568 ± 580.3156,-14326.5943 ± 549.9356,-14204.6131 ± 625.4262,73.2583 ± 19.4254,44.9232 ± 12.7587,46.7523 ± 12.2748,0.9000 ± 0.0000,0.0001 ± 0.0000,13218.9888 ± 725.5630,-13170.3767 ± 744.9151
35000,840.2476 ± 20.5296,4.9043 ± 0.5450,41.3680 ± 9.7055,42.1890 ± 11.3784,0.6668 ± 0.0518,0.3375 ± 0.1109,0.1856 ± 0.0863,-14747.3007 ± 728.9904,-14302.6375 ± 368.1335,-14409.7633 ± 373.1651,-14235.2149 ± 483.3590,69.8920 ± 14.0584,43.8661 ± 10.4304,47.5517 ± 11.0032,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,854.7284 ± 21.1017,15.9476 ± 1.6199,41.1940 ± 11.3259,41.0470 ± 10.2566,0.6651 ± 0.0839,0.3148 ± 0.1217,0.1832 ± 0.0924,-14784.9098 ± 912.5132,-14202.5639 ± 340.3099,-14297.6452 ± 514.2219,-14130.4586 ± 515.8255,70.6895 ± 24.4203,42.4110 ± 10.8321,43.7228 ± 11.7915,0.9000 ± 0.0000,0.0001 ± 0.0000,13186.7032 ± 693.3403,-13081.0760 ± 671.0219
37000,879.7664 ± 22.9040,4.7943 ± 0.4246,38.4550 ± 9.5778,39.4700 ± 9.6149,0.6607 ± 0.0722,0.3443 ± 0.1162,0.1882 ± 0.0937,-14982.8048 ± 1613.7960,-14589.8998 ± 922.2753,-14149.1554 ± 494.7293,-14061.2476 ± 513.5051,84.6809 ± 50.1065,39.9396 ± 9.2817,44.4690 ± 10.3731,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,894.0618 ± 23.2052,15.8602 ± 1.1777,38.2170 ± 7.7459,40.1230 ± 6.8270,0.6822 ± 0.0701,0.3532 ± 0.0916,0.2019 ± 0.0855,-17583.1498 ± 7508.4052,-14640.4077 ± 1303.5842,-14124.9425 ± 486.4450,-13981.7682 ± 418.1460,85.4951 ± 41.9425,45.7339 ± 21.7658,55.4561 ± 25.3969,0.9000 ± 0.0000,0.0001 ± 0.0000,12999.6108 ± 571.4151,-12897.5700 ± 516.1931
39000,919.3664 ± 23.9143,5.0871 ± 0.3950,43.6920 ± 8.1511,44.4440 ± 8.5721,0.6540 ± 0.0738,0.3116 ± 0.0929,0.1704 ± 0.0861,-14616.9302 ± 1540.7644,-14258.1223 ± 1022.9044,-14444.7210 ± 1286.2827,-14194.2768 ± 982.6039,73.3929 ± 20.8265,40.4283 ± 12.0595,42.0623 ± 11.9472,0.9000 ± 0.0000,0.0001 ± 0.0000,,
