iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
28000,737.2819 ± 18.5975,16.8574 ± 0.8087,46.3240 ± 9.7200,48.1190 ± 6.2974,0.6728 ± 0.0813,0.3461 ± 0.1006,0.1914 ± 0.0887,-13845.0719 ± 305.0079,-13719.0643 ± 265.7098,-13836.6143 ± 297.0156,-13713.1621 ± 264.7551,80.3732 ± 17.0729,48.9719 ± 6.7788,50.6863 ± 9.7128,0.9000 ± 0.0000,0.0001 ± 0.0000,12737.8546 ± 183.6583,-12677.9998 ± 135.2848
29000,763.3737 ± 19.4027,5.0129 ± 0.2251,44.7640 ± 8.6429,47.1010 ± 6.1780,0.6873 ± 0.0491,0.3424 ± 0.0695,0.1819 ± 0.0533,-13837.9117 ± 235.9825,-13725.5291 ± 200.6799,-13826.9858 ± 271.3982,-13712.7665 ± 236.0921,82.6996 ± 19.9410,48.7232 ± 8.5250,50.9498 ± 11.1203,0.9000 ± 0.0000,0.0001 ± 0.0000,,
30000,778.2677 ± 19.7258,16.4434 ± 1.1051,42.5980 ± 11.3047,44.6160 ± 8.1083,0.6799 ± 0.0517,0.3510 ± 0.0837,0.1795 ± 0.0638,-13761.6336 ± 387.7025,-13664.6712 ± 358.0306,-13753.7508 ± 384.9842,-13671.5685 ± 361.0849,75.1568 ± 15.4144,46.1059 ± 5.5449,48.8580 ± 7.8114,0.9000 ± 0.0000,0.0001 ± 0.0000,12697.3222 ± 241.0089,-12651.0473 ± 239.1014
31000,803.7248 ± 20.7518,4.9450 ± 0.2362,43.4400 ± 8.1446,45.3250 ± 6.0207,0.6734 ± 0.0594,0.3349 ± 0.0691,0.1738 ± 0.0534,-13736.8415 ± 225.1093,-13645.4918 ± 237.3356,-13719.5122 ± 230.9052,-13642.1192 ± 229.5883,72.6359 ± 12.6466,40.7326 ± 8.1316,44.9257 ± 7.2880,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,818.1350 ± 20.9224,16.0277 ± 0.9278,39.4590 ± 10.0247,42.6650 ± 6.6027,0.6892 ± 0.0461,0.3796 ± 0.0769,0.2167 ± 0.0850,-13613.1308 ± 315.3022,-13537.9038 ± 312.3967,-13612.9837 ± 305.7448,-13527.1958 ± 296.6163,63.9300 ± 11.5858,42.6348 ± 9.6928,44.2780 ± 7.0336,0.9000 ± 0.0000,0.0001 ± 0.0000,12643.2574 ± 247.2995,-12598.3319 ± 241.8483
33000,843.1249 ± 21.7035,4.7421 ± 0.2718,37.9310 ± 10.0442,41.2310 ± 6.6549,0.7051 ± 0.0442,0.3773 ± 0.0834,0.2153 ± 0.0805,-13572.1938 ± 313.8942,-13491.5441 ± 281.9325,-13564.8444 ± 315.3428,-13503.6792 ± 301.8858,74.2306 ± 18.3713,43.0440 ± 9.5614,46.4494 ± 14.3290,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,857.3012 ± 21.7926,15.7849 ± 0.6832,37.2620 ± 7.4137,41.2220 ± 4.6789,0.7153 ± 0.0425,0.3905 ± 0.0573,0.2293 ± 0.0721,-13532.9507 ± 238.7316,-13460.7516 ± 231.7722,-13531.6078 ± 248.9749,-13453.3553 ± 247.8583,85.4295 ± 31.7303,38.6029 ± 10.7409,44.2079 ± 15.9158,0.9000 ± 0.0000,0.0001 ± 0.0000,12627.4457 ± 241.6060,-12584.5263 ± 240.8343
35000,882.4020 ± 22.2806,4.7862 ± 0.1997,37.7260 ± 8.2517,41.5860 ± 4.5444,0.6972 ± 0.0550,0.3864 ± 0.0788,0.2098 ± 0.0765,-13581.7384 ± 220.5116,-13513.6740 ± 203.7432,-13577.0832 ± 234.4826,-13508.8481 ± 225.7703,109.0885 ± 56.8671,38.1318 ± 8.6805,42.6918 ± 16.6375,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,896.6485 ± 22.3671,16.0496 ± 0.6486,38.1590 ± 8.7204,42.4340 ± 5.1450,0.6919 ± 0.0501,0.3700 ± 0.0758,0.2062 ± 0.0665,-13578.5956 ± 254.1046,-13516.1237 ± 261.6744,-13562.6659 ± 261.4486,-13505.7765 ± 266.1187,103.1445 ± 61.0338,35.8559 ± 8.3097,45.1199 ± 11.9467,0.9000 ± 0.0000,0.0001 ± 0.0000,12605.9145 ± 232.8807,-12574.6879 ± 218.0605
37000,921.6767 ± 22.7876,4.7809 ± 0.1892,37.4660 ± 8.2437,41.6590 ± 5.0357,0.6889 ± 0.0485,0.3744 ± 0.0857,0.2021 ± 0.0656,-13610.1275 ± 231.8395,-13515.7243 ± 267.8068,-13590.0052 ± 268.4172,-13508.5824 ± 305.0305,102.8006 ± 47.4102,33.6675 ± 6.5506,40.8369 ± 8.5824,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,936.0006 ± 22.7733,15.8889 ± 0.7210,34.6230 ± 6.7031,40.4750 ± 5.1961,0.7185 ± 0.0313,0.4218 ± 0.0563,0.2525 ± 0.0673,-13549.3656 ± 232.3423,-13424.8851 ± 250.4652,-13550.8247 ± 275.1967,-13439.0010 ± 291.5228,83.5666 ± 31.5135,32.9110 ± 5.6619,38.5238 ± 5.8576,0.9000 ± 0.0000,0.0001 ± 0.0000,12596.5837 ± 215.5434,-12551.6980 ± 217.6325
39000,960.9582 ± 22.9575,4.7902 ± 0.1950,35.2860 ± 7.5915,41.3670 ± 5.8887,0.7076 ± 0.0487,0.4148 ± 0.0697,0.2402 ± 0.0769,-13546.3150 ± 223.8313,-13469.2545 ± 248.5530,-13543.6251 ± 235.6525,-13474.5586 ± 257.9630,85.7529 ± 35.4685,30.9760 ± 3.7015,35.3566 ± 8.6987,0.9000 ± 0.0000,0.0001 ± 0.0000,,
