iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
28000,1182.0639 ± 14.8471,38.6977 ± 0.8530,166.6000 ± 2.9877,136.8030 ± 5.7867,0.5050 ± 0.0284,0.0556 ± 0.0077,0.0355 ± 0.0017,-17974.4986 ± 916.4734,-17147.8758 ± 866.9387,-14402.0476 ± 231.8938,-14068.8602 ± 262.5646,74.4029 ± 22.8131,73.6373 ± 5.9577,69.5128 ± 9.3990,0.9000 ± 0.0000,0.0001 ± 0.0000,12735.2182 ± 253.4844,-12433.5540 ± 267.1488
29000,1236.7872 ± 12.7191,11.3353 ± 0.4298,164.9350 ± 8.0216,134.6770 ± 10.5206,0.4952 ± 0.0147,0.0546 ± 0.0083,0.0351 ± 0.0014,-17743.8540 ± 1261.1341,-17154.2241 ± 1219.0827,-14486.6741 ± 251.9504,-14173.4304 ± 358.2225,72.9013 ± 15.2226,72.4705 ± 5.1925,72.3454 ± 6.5004,0.9000 ± 0.0000,0.0001 ± 0.0000,,
30000,1262.6394 ± 13.0388,38.0129 ± 2.2878,165.5750 ± 13.6563,134.0220 ± 14.0716,0.4830 ± 0.0274,0.0551 ± 0.0217,0.0349 ± 0.0035,-17839.1869 ± 2002.2968,-16676.3894 ± 1212.6063,-14257.8348 ± 452.4344,-13930.1006 ± 442.3550,70.5349 ± 15.6453,69.4874 ± 6.2774,67.3464 ± 7.7868,0.9000 ± 0.0000,0.0001 ± 0.0000,12680.7609 ± 382.8779,-12414.1646 ± 376.4932
31000,1315.4131 ± 13.2893,11.5935 ± 0.7595,169.1990 ± 13.5541,138.6610 ± 14.4345,0.5064 ± 0.0361,0.0589 ± 0.0248,0.0364 ± 0.0058,-18328.0625 ± 2075.9390,-17240.8312 ± 1178.8553,-14450.3246 ± 377.9157,-14134.6442 ± 248.2364,70.8856 ± 1.6591,66.1845 ± 5.1159,68.5261 ± 3.9581,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,1341.1559 ± 13.8952,38.4547 ± 1.3596,165.7130 ± 11.4188,136.6580 ± 9.9195,0.4991 ± 0.0311,0.0707 ± 0.0234,0.0372 ± 0.0049,-17877.7863 ± 1315.1061,-17241.5751 ± 1226.5321,-14383.1702 ± 295.1433,-14104.1806 ± 262.5256,78.3418 ± 22.1733,66.0420 ± 6.6664,66.4217 ± 7.4649,0.9000 ± 0.0000,0.0001 ± 0.0000,12784.8905 ± 297.6334,-12529.2891 ± 338.0461
33000,1394.2147 ± 14.9287,11.5536 ± 0.5914,171.0050 ± 15.0785,142.5690 ± 15.2302,0.5066 ± 0.0226,0.0668 ± 0.0177,0.0356 ± 0.0025,-18636.7070 ± 2244.3381,-17951.3278 ± 2003.1752,-14579.5710 ± 463.0573,-14275.7871 ± 431.4666,64.3793 ± 13.5410,62.3844 ± 5.4105,62.7355 ± 9.8587,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,1419.7914 ± 15.6706,38.4534 ± 1.9974,165.6620 ± 12.5037,139.5890 ± 13.4923,0.5047 ± 0.0252,0.0715 ± 0.0207,0.0366 ± 0.0028,-18369.1866 ± 2425.9620,-17455.6116 ± 1451.5828,-14416.4833 ± 329.3369,-14173.6090 ± 286.0465,60.3969 ± 10.1803,65.3455 ± 6.0830,61.7254 ± 10.7829,0.9000 ± 0.0000,0.0001 ± 0.0000,12896.9637 ± 279.8838,-12703.0098 ± 246.3870
35000,1472.9917 ± 17.5469,11.4232 ± 0.6108,168.5970 ± 11.5055,141.6560 ± 13.4543,0.5064 ± 0.0236,0.0784 ± 0.0269,0.0376 ± 0.0042,-19112.9410 ± 3698.1620,-17866.3112 ± 2153.7270,-14448.8923 ± 381.7812,-14185.6581 ± 326.1425,58.6689 ± 13.1056,62.0612 ± 4.1913,63.7521 ± 10.3737,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,1498.1543 ± 18.4140,38.3658 ± 1.4037,167.5570 ± 10.0207,139.0390 ± 10.7196,0.5010 ± 0.0272,0.0747 ± 0.0340,0.0365 ± 0.0048,-19015.2573 ± 3823.5123,-17318.3028 ± 1099.8405,-14330.1498 ± 254.1954,-14087.5572 ± 229.1491,57.7712 ± 6.0372,67.4332 ± 6.8465,64.9814 ± 6.1784,0.9000 ± 0.0000,0.0001 ± 0.0000,12836.2927 ± 253.1659,-12610.2286 ± 221.8446
37000,1549.9343 ± 20.1202,11.1950 ± 0.4397,165.4490 ± 9.8457,135.4720 ± 9.0983,0.4966 ± 0.0282,0.0586 ± 0.0175,0.0348 ± 0.0035,-17195.1352 ± 693.4483,-16732.8056 ± 672.0963,-14146.1024 ± 305.7713,-13896.4956 ± 293.7858,65.0621 ± 17.9791,66.9248 ± 3.9241,62.6288 ± 3.5162,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,1574.9039 ± 20.8151,37.4151 ± 0.8210,164.2710 ± 7.2452,132.9730 ± 6.1098,0.4980 ± 0.0335,0.0695 ± 0.0311,0.0357 ± 0.0050,-16894.1238 ± 437.7931,-16488.7813 ± 388.4019,-14014.1353 ± 340.9864,-13723.1435 ± 345.7487,58.2200 ± 12.4744,65.4739 ± 4.6441,61.8958 ± 13.1542,0.9000 ± 0.0000,0.0001 ± 0.0000,12644.0865 ± 325.6723,-12368.8927 ± 301.4084
39000,1626.1349 ± 21.5614,10.9400 ± 0.2125,161.0590 ± 6.6107,130.5120 ± 4.7639,0.5064 ± 0.0390,0.0671 ± 0.0352,0.0364 ± 0.0059,-16584.5645 ± 325.9468,-16228.2675 ± 336.7119,-13939.5047 ± 272.7175,-13737.1687 ± 237.2271,88.7763 ± 45.0949,70.4859 ± 14.6751,79.0442 ± 28.8230,0.9000 ± 0.0000,0.0001 ± 0.0000,,
