iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
5000,269.1086 ± 20.0007,14.3781 ± 4.5033,152.6170 ± 40.1940,118.4780 ± 44.0835,0.4981 ± 0.0354,0.0362 ± 0.0067,0.0387 ± 0.0079,-23912.3009 ± 4812.0133,-19398.1580 ± 1079.9940,-19251.7567 ± 473.9096,-18116.0401 ± 520.7487,133.4300 ± 21.1375,140.1989 ± 5.4750,143.4415 ± 6.3077,0.2250 ± 0.0000,0.0001 ± 0.0000,,
6000,296.3981 ± 23.4559,35.7107 ± 9.3422,140.9070 ± 46.6383,105.1860 ± 50.1257,0.4959 ± 0.0368,0.0354 ± 0.0065,0.0385 ± 0.0066,-21591.6828 ± 4532.0460,-18190.2685 ± 815.3668,-18813.5298 ± 650.6925,-17811.3476 ± 798.7800,160.3324 ± 22.0224,140.6107 ± 4.9002,145.1883 ± 4.8038,0.2700 ± 0.0000,0.0001 ± 0.0000,17397.8578 ± 267.4179,-16396.6211 ± 699.1370
7000,344.4974 ± 29.1106,9.8965 ± 1.6971,120.8370 ± 19.5940,83.4830 ± 20.6370,0.4925 ± 0.0288,0.0368 ± 0.0083,0.0370 ± 0.0030,-19161.5161 ± 630.3757,-17923.7263 ± 586.5263,-18591.1410 ± 478.8267,-17608.0253 ± 524.4517,174.2386 ± 43.2737,138.2087 ± 7.1160,143.6900 ± 14.2004,0.3150 ± 0.0000,0.0001 ± 0.0000,,
8000,369.4694 ± 26.7679,28.9881 ± 1.1370,110.0950 ± 6.7857,70.3050 ± 7.5084,0.4995 ± 0.0308,0.0340 ± 0.0047,0.0363 ± 0.0026,-18350.6850 ± 345.4772,-17617.8900 ± 598.6182,-17966.2849 ± 294.8496,-17224.5465 ± 567.1118,189.4854 ± 46.8984,138.6064 ± 7.5807,145.7231 ± 11.2640,0.3600 ± 0.0000,0.0001 ± 0.0000,17029.5562 ± 261.4781,-16241.9719 ± 506.8670
9000,414.8187 ± 25.8755,10.6671 ± 2.9615,132.9050 ± 38.7266,95.0390 ± 41.4332,0.4966 ± 0.0366,0.0377 ± 0.0070,0.0352 ± 0.0025,-19985.6172 ± 3687.0126,-17959.7916 ± 962.8853,-17989.5464 ± 527.4547,-17114.8689 ± 584.9077,224.2078 ± 51.0338,139.4680 ± 6.3986,147.5092 ± 11.0974,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,440.3490 ± 25.2881,33.0399 ± 2.8597,129.7100 ± 16.3218,91.9230 ± 17.1862,0.4749 ± 0.0226,0.0340 ± 0.0091,0.0361 ± 0.0055,-18470.0183 ± 446.1160,-17541.7614 ± 304.6954,-17551.8781 ± 342.0892,-16697.7823 ± 360.6281,252.1450 ± 66.2837,140.5020 ± 5.1707,151.8687 ± 13.2470,0.4500 ± 0.0000,0.0001 ± 0.0000,16356.0073 ± 623.3888,-15464.1011 ± 660.2692
11000,487.8766 ± 23.8325,10.6683 ± 0.7320,135.7900 ± 12.7644,97.3000 ± 14.2466,0.4852 ± 0.0381,0.0335 ± 0.0072,0.0334 ± 0.0026,-18490.6533 ± 587.1388,-17521.8054 ± 531.0972,-17241.5360 ± 348.5761,-16295.1980 ± 474.3124,263.1017 ± 39.8333,139.8566 ± 5.3729,148.5728 ± 8.8495,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,512.7432 ± 23.3946,32.8000 ± 2.0373,134.4090 ± 12.6994,94.4820 ± 15.4940,0.4728 ± 0.0310,0.0314 ± 0.0079,0.0320 ± 0.0013,-18177.2957 ± 467.8351,-17177.5395 ± 404.3424,-16779.8516 ± 459.8670,-15978.9887 ± 243.2193,306.5452 ± 50.3213,138.8995 ± 5.6850,153.1346 ± 9.4673,0.5400 ± 0.0000,0.0001 ± 0.0000,15377.1546 ± 593.8235,-14600.1896 ± 400.8334
13000,560.7919 ± 21.8701,11.1686 ± 1.6544,146.7860 ± 21.0101,110.2470 ± 23.4313,0.4794 ± 0.0459,0.0315 ± 0.0053,0.0343 ± 0.0030,-19054.5298 ± 1437.3590,-17773.4805 ± 875.9431,-16566.1407 ± 633.3663,-15719.3282 ± 607.9003,380.8554 ± 45.3741,137.9752 ± 5.8703,159.1847 ± 9.4431,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,588.2347 ± 21.9336,38.5525 ± 4.1926,158.0990 ± 19.3291,123.4270 ± 22.7827,0.4831 ± 0.0361,0.0319 ± 0.0059,0.0340 ± 0.0045,-19971.6140 ± 2327.7880,-18112.0039 ± 1327.2465,-16415.5928 ± 719.2576,-15501.0383 ± 714.3609,445.3979 ± 62.5145,132.6998 ± 10.8006,160.9712 ± 6.5602,0.6300 ± 0.0000,0.0001 ± 0.0000,14429.1395 ± 446.2975,-13668.2216 ± 570.2982
15000,641.2828 ± 22.5129,12.2876 ± 1.6816,156.6080 ± 15.1946,121.0620 ± 18.0929,0.4719 ± 0.0313,0.0301 ± 0.0041,0.0330 ± 0.0018,-19146.7717 ± 1192.8817,-17830.2483 ± 725.2242,-16138.3115 ± 595.0784,-15441.1584 ± 654.1456,494.3104 ± 63.1589,132.8492 ± 10.3294,166.3984 ± 13.6758,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,669.0169 ± 22.9784,39.4963 ± 3.6396,166.1780 ± 18.0139,133.5890 ± 18.2527,0.4805 ± 0.0360,0.0368 ± 0.0049,0.0360 ± 0.0022,-20038.7068 ± 2269.8547,-18293.5800 ± 995.7006,-16012.8189 ± 765.4066,-15441.6200 ± 733.0439,528.5548 ± 61.0195,127.4918 ± 5.9346,165.8117 ± 10.0985,0.7200 ± 0.0000,0.0001 ± 0.0000,14021.3907 ± 793.6553,-13560.4559 ± 736.5322
17000,722.0033 ± 23.7525,11.9717 ± 0.6291,159.8950 ± 10.5764,125.9820 ± 8.6396,0.4796 ± 0.0352,0.0381 ± 0.0141,0.0344 ± 0.0039,-18621.0675 ± 892.5617,-17684.7545 ± 803.1736,-15656.5092 ± 849.3367,-15185.8873 ± 801.2347,517.7585 ± 75.0737,124.0695 ± 5.6938,157.2232 ± 4.3478,0.7650 ± 0.0000,0.0001 ± 0.0000,,
