iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
30000,392.7599 ± 15.8431,4.1023 ± 2.0892,10.8920 ± 3.2685,7.6920 ± 9.1025,0.6384 ± 0.1648,0.2241 ± 0.1579,0.2683 ± 0.1626,-2712.0571 ± 281.7846,-2549.6371 ± 321.8927,-2675.9028 ± 328.8192,-2534.2257 ± 336.2554,22.1185 ± 8.1358,6.8406 ± 0.3134,8.8667 ± 1.8951,0.9000 ± 0.0000,0.0001 ± 0.0000,2631.1931 ± 355.1213,-2493.3813 ± 353.1537
31000,404.4557 ± 17.8560,1.1926 ± 0.4798,9.8520 ± 1.2090,6.2280 ± 6.4964,0.6415 ± 0.1566,0.2505 ± 0.1845,0.2734 ± 0.1726,-2675.0388 ± 312.2700,-2549.0571 ± 322.3469,-2661.3795 ± 328.2235,-2532.2309 ± 337.8728,14.2844 ± 5.4137,6.1855 ± 0.6016,6.2799 ± 0.3685,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,413.3657 ± 18.1540,4.0372 ± 1.4524,9.7600 ± 0.8993,6.7180 ± 5.5789,0.6415 ± 0.1704,0.2005 ± 0.1694,0.2632 ± 0.1851,-2646.4515 ± 256.4717,-2546.5096 ± 324.3840,-2630.7454 ± 271.3451,-2532.0994 ± 337.8197,11.4784 ± 5.1382,6.0762 ± 0.6672,7.1177 ± 1.7554,0.9000 ± 0.0000,0.0001 ± 0.0000,2590.5968 ± 289.6008,-2492.9202 ± 353.6153
33000,425.0912 ± 19.0693,1.3221 ± 0.4785,10.0630 ± 2.4618,7.9100 ± 6.4915,0.6866 ± 0.1464,0.3319 ± 0.2210,0.3385 ± 0.2066,-2594.4041 ± 277.1928,-2433.7984 ± 280.4053,-2575.1529 ± 294.0364,-2415.8675 ± 290.4927,8.6986 ± 3.0104,5.6859 ± 0.9477,6.9301 ± 1.9642,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,433.9156 ± 19.5444,4.2941 ± 1.6192,8.9220 ± 2.3369,7.5300 ± 6.1442,0.6737 ± 0.1815,0.3368 ± 0.3095,0.3670 ± 0.2718,-2564.2424 ± 308.3366,-2541.2433 ± 329.3726,-2546.8582 ± 324.0992,-2529.8021 ± 340.1639,7.0085 ± 0.9682,5.5491 ± 0.6613,4.8656 ± 0.5254,0.9000 ± 0.0000,0.0001 ± 0.0000,2507.5658 ± 339.8005,-2492.7253 ± 353.8160
35000,445.9562 ± 20.9358,1.3201 ± 0.4907,9.7650 ± 2.2558,7.9380 ± 6.6126,0.6513 ± 0.1671,0.2992 ± 0.2731,0.3132 ± 0.2293,-2566.0929 ± 307.2323,-2544.4386 ± 326.7398,-2546.6599 ± 325.2319,-2529.9861 ± 339.8884,7.2405 ± 0.7940,5.3036 ± 0.9683,5.2267 ± 1.3106,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,455.9024 ± 20.6681,4.3462 ± 1.6732,8.8930 ± 2.2225,7.7510 ± 6.3222,0.6768 ± 0.1815,0.3148 ± 0.2663,0.3186 ± 0.2188,-2552.5567 ± 319.5092,-2545.4887 ± 325.4588,-2533.0595 ± 337.2874,-2530.9009 ± 339.1584,6.6423 ± 1.4994,4.9179 ± 0.6915,4.8613 ± 0.8833,0.9000 ± 0.0000,0.0001 ± 0.0000,2494.5632 ± 352.1242,-2493.3580 ± 353.2030
37000,467.8405 ± 21.9617,1.2769 ± 0.4491,8.2080 ± 1.3464,6.7230 ± 5.3608,0.6759 ± 0.1783,0.3591 ± 0.2829,0.3723 ± 0.2443,-2547.3032 ± 324.3504,-2538.5588 ± 332.1932,-2535.0063 ± 335.5228,-2529.5279 ± 340.5190,6.9864 ± 1.9086,4.9060 ± 0.6140,4.9911 ± 0.8558,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,477.7081 ± 21.1458,4.3029 ± 1.6456,8.6550 ± 0.3834,7.5400 ± 6.2028,0.7054 ± 0.2003,0.3724 ± 0.2949,0.3987 ± 0.2652,-2551.8583 ± 320.7012,-2540.2109 ± 330.8820,-2535.8669 ± 335.0414,-2529.9959 ± 340.0318,6.7487 ± 2.7984,4.6874 ± 0.6134,5.1575 ± 1.2431,0.9000 ± 0.0000,0.0001 ± 0.0000,2495.3362 ± 351.4405,-2493.5557 ± 352.9413
39000,489.6384 ± 22.4333,1.3194 ± 0.5179,9.3540 ± 4.1806,8.2800 ± 8.1901,0.6864 ± 0.1890,0.3425 ± 0.2876,0.3642 ± 0.2546,-2579.6691 ± 308.9606,-2542.6648 ± 329.2419,-2543.3632 ± 330.0081,-2529.7860 ± 340.2772,6.8724 ± 3.3322,4.7744 ± 1.0297,5.6248 ± 1.8660,0.9000 ± 0.0000,0.0001 ± 0.0000,,
